written by TR 
102.66200000 46.40890000 9.95350000 
103.89500000 48.54850000 9.81949000 
67.20460000 65.68640000 10.56540000 
29.08090000 1.08586000 10.54220000 
30.31130000 1.80836000 10.60770000 
30.30480000 3.23717000 10.66820000 
29.06710000 3.95012000 10.68330000 
29.05620000 5.37027000 10.84930000 
30.28270000 6.08967000 10.98350000 
30.26800000 7.49716000 11.23690000 
29.02690000 8.19143000 11.36990000 
29.01110000 9.58356000 11.69670000 
30.23510000 10.29570000 11.87910000 
30.21930000 11.68650000 12.21430000 
28.97650000 12.37650000 12.35660000 
28.96210000 13.77930000 12.63580000 
30.18730000 14.49750000 12.79050000 
30.17510000 15.91280000 12.99640000 
28.93270000 16.61800000 13.02320000 
28.92220000 18.04450000 13.11830000 
30.15110000 18.76740000 13.22190000 
30.14160000 20.19710000 13.24330000 
28.90440000 20.90390000 13.12550000 
28.89680000 22.33120000 13.05120000 
30.12640000 23.05430000 13.14170000 
30.11780000 24.47970000 13.03580000 
28.88990000 25.17620000 12.80400000 
28.88360000 26.59620000 12.64810000 
30.10820000 27.32330000 12.76250000 
30.09970000 28.74310000 12.60460000 
28.88010000 29.43040000 12.31050000 
28.87390000 30.84710000 12.13210000 
30.09250000 31.57970000 12.26930000 
30.08590000 32.99620000 12.09080000 
28.87180000 33.67910000 11.76910000 
28.86820000 35.09400000 11.58070000 
30.08410000 35.82940000 11.71980000 
30.08310000 37.24290000 11.52220000 
28.87190000 37.92470000 11.19470000 
28.87250000 39.33820000 10.99680000 
30.09160000 40.07120000 11.10940000 
30.09630000 41.48230000 10.89560000 
28.88000000 42.16880000 10.60310000 
28.88180000 43.58370000 10.41510000 
30.10900000 44.30910000 10.47300000 
30.11360000 45.72260000 10.27510000 
28.88520000 46.42100000 10.07470000 
28.88570000 47.84100000 9.92725000 
30.11970000 48.55870000 9.92789000 
30.12160000 49.97910000 9.78325000 
105.13100000 50.68760000 9.68486000 
106.36800000 52.82650000 9.55598000 
69.66880000 65.69170000 10.70860000 
31.54550000 1.09101000 10.66310000 
32.77640000 1.81303000 10.72660000 
32.76960000 3.24299000 10.76780000 
31.53340000 3.95942000 10.76550000 
31.52180000 5.38223000 10.91350000 
32.74860000 6.10134000 11.04810000 
32.73300000 7.51219000 11.28550000 
31.49300000 8.21192000 11.40310000 
31.47650000 9.60639000 11.72250000 
32.70070000 10.31700000 11.90910000 
32.68490000 11.70770000 12.24550000 
31.44360000 12.39960000 12.39240000 
31.42980000 13.79960000 12.68710000 
32.65620000 14.51640000 12.83970000 
32.64520000 15.92980000 13.05990000 
31.40300000 16.63420000 13.11880000 
31.39270000 18.05920000 13.24220000 
32.62370000 18.78230000 13.32290000 
32.61450000 20.21200000 13.36830000 
31.37290000 20.92010000 13.31800000 
31.36320000 22.34970000 13.28190000 
32.59640000 23.07240000 13.32380000 
32.58600000 24.50040000 13.24840000 
31.34810000 25.20350000 13.10890000 
31.33790000 26.62750000 12.98600000 
32.56900000 27.35150000 13.03230000 
32.55760000 28.77440000 12.90050000 
31.32500000 29.47130000 12.70090000 
31.31530000 30.89070000 12.54240000 
32.54210000 31.61860000 12.61020000 
32.53240000 33.03770000 12.45240000 
31.30600000 33.72910000 12.20690000 
31.30040000 35.14510000 12.02630000 
32.52270000 35.87730000 12.11740000 
32.51910000 37.29270000 11.93500000 
31.30060000 37.97830000 11.64360000 
31.30290000 39.39010000 11.43520000 
32.52250000 40.12450000 11.53890000 
32.52860000 41.53430000 11.31840000 
31.31700000 42.21450000 10.99350000 
31.32560000 43.62310000 10.76450000 
